"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","outcome","sr","accuracy"
"2769","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>"," ","html-keyboard-response","0","2777","0.0-0.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","","","",""
"3828","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      "," ","html-keyboard-response","1","6618","0.0-1.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","","","",""
"76443","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","83067","0.0-2.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","","","",""
"101380","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      "," ","html-keyboard-response","3","184453","0.0-3.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","","","",""
"23737","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      "," ","html-keyboard-response","4","208193","0.0-4.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","","","",""
"","","","pavlovia","5","209181","0.0-5.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","","","",""
"1733","<p> Block 1</div> Press any key to continue. </p>"," ","html-keyboard-response","6","210916","0.0-6.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","","","",""
"2681","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","7","213602","0.0-7.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-21","S",""
"3951","<p> Total Tokens for current block: -21.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","8","217557","0.0-8.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-37","R",""
"3922","<p> Total Tokens for current block: -58.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","9","221483","0.0-9.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-21","S",""
"4043","<p> Total Tokens for current block: -79.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","10","225530","0.0-10.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-20","S",""
"2949","<p> Total Tokens for current block: -99.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","11","228482","0.0-11.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-24","S",""
"2880","<p> Total Tokens for current block: -123.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","12","231365","0.0-12.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-42","R",""
"2031","<p> Total Tokens for current block: -165.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","13","233399","0.0-13.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-18","S",""
"1690","<p> Total Tokens for current block: -183.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","14","235094","0.0-14.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-22","S",""
"2268","<p> Total Tokens for current block: -205.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","15","237364","0.0-15.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-18","S",""
"2498","<p> Total Tokens for current block: -223.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","16","239865","0.0-16.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-22","S",""
"2529","<p> Total Tokens for current block: -245.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","17","242397","0.0-17.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-24","S",""
"1976","<p> Total Tokens for current block: -269.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","18","244376","0.0-18.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-21","S",""
"2459","<p> Total Tokens for current block: -290.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","19","246838","0.0-19.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-20","S",""
"1884","<p> Total Tokens for current block: -310.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","20","248725","0.0-20.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-17","S",""
"2229","<p> Total Tokens for current block: -327.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","21","250956","0.0-21.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-22","S",""
"1883","<p> Total Tokens for current block: -349.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","22","252843","0.0-22.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-24","S",""
"1513","<p> Total Tokens for current block: -373.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","23","254358","0.0-23.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-21","S",""
"2096","<p> Total Tokens for current block: -394.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","24","256456","0.0-24.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-16","S",""
"1832","<p> Total Tokens for current block: -410.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","25","258293","0.0-25.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-17","S",""
"2054","<p> Total Tokens for current block: -427.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","26","260348","0.0-26.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","-16","S",""
"2638","<p> Total Tokens for current block: -443.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","27","262989","0.0-27.0","5e8783b0fde5153fbd9dca43","64ad530e4483ba3cf33d797a","64bad99f7e735bf414c80684","0","0","R",""
