"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","outcome","accuracy"
"1038","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>"," ","html-keyboard-response","0","1046","0.0-0.0","","","","","",""
"934","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      "," ","html-keyboard-response","1","1993","0.0-1.0","","","","","",""
"1580","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","3583","0.0-2.0","","","","","",""
"727","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      "," ","html-keyboard-response","3","4315","0.0-3.0","","","","","",""
"604","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      "," ","html-keyboard-response","4","4922","0.0-4.0","","","","","",""
"","","","pavlovia","5","5567","0.0-5.0","","","","","",""
"871","<p> Block 1</div> Press any key to continue. </p>"," ","html-keyboard-response","6","6440","0.0-6.0","","","","","",""
"1829","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","8279","0.0-7.0","","","","0","0",""
"116","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","8","8416","0.0-8.0","","","","0","0",""
"116","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","9","8535","0.0-9.0","","","","0","0",""
"125","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","10","8662","0.0-10.0","","","","0","0",""
"103","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","11","8770","0.0-11.0","","","","0","-36",""
"90","<p> Total Tokens for current block: -36.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","12","8862","0.0-12.0","","","","0","0",""
"135","<p> Total Tokens for current block: -36.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","13","9001","0.0-13.0","","","","0","0",""
"124","<p> Total Tokens for current block: -36.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","14","9127","0.0-14.0","","","","0","-35",""
"155","<p> Total Tokens for current block: -71.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","15","9286","0.0-15.0","","","","0","0",""
"1605","<p> Total Tokens for current block: -71.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","16","10894","0.0-16.0","","","","0","-37",""
"147","<p> Total Tokens for current block: -108.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","17","11044","0.0-17.0","","","","0","0",""
"227","<p> Total Tokens for current block: -108.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","18","11273","0.0-18.0","","","","0","-39",""
"135","<p> Total Tokens for current block: -147.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","19","11410","0.0-19.0","","","","0","-38",""
"139","<p> Total Tokens for current block: -185.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","20","11553","0.0-20.0","","","","0","0",""
"134","<p> Total Tokens for current block: -185.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","21","11688","0.0-21.0","","","","0","0",""
"143","<p> Total Tokens for current block: -185.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","22","11834","0.0-22.0","","","","0","0",""
"119","<p> Total Tokens for current block: -185.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","23","11954","0.0-23.0","","","","0","-37",""
"214","<p> Total Tokens for current block: -222.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","24","12169","0.0-24.0","","","","0","0",""
"301","<p> Total Tokens for current block: -222.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","25","12476","0.0-25.0","","","","0","0",""
"134","<p> Total Tokens for current block: -222.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","26","12611","0.0-26.0","","","","0","-42",""
"119","<p> Total Tokens for current block: -264.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","27","12734","0.0-27.0","","","","0","-42",""
"139","<p> Total Tokens for current block: -306.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","28","12876","0.0-28.0","","","","0","-39",""
"135","<p> Total Tokens for current block: -345.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","29","13011","0.0-29.0","","","","0","0",""
"134","<p> Total Tokens for current block: -345.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","30","13151","0.0-30.0","","","","0","0",""
"124","<p> Total Tokens for current block: -345.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","31","13277","0.0-31.0","","","","0","0",""
"132","<p> Total Tokens for current block: -345.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","32","13412","0.0-32.0","","","","0","0",""
"125","<p> Total Tokens for current block: -345.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","33","13540","0.0-33.0","","","","0","-42",""
"134","<p> Total Tokens for current block: -387.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","34","13675","0.0-34.0","","","","0","-40",""
"124","<p> Total Tokens for current block: -427.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","35","13800","0.0-35.0","","","","0","0",""
"139","<p> Total Tokens for current block: -427.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","36","13941","0.0-36.0","","","","0","0",""
"148","<p> Total Tokens for current block: -427.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","37","14092","0.0-37.0","","","","0","-39",""
"133","<p> Total Tokens for current block: -466.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","38","14227","0.0-38.0","","","","0","-43",""
"155","<p> Total Tokens for current block: -509.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","39","14385","0.0-39.0","","","","0","0",""
"105","<p> Total Tokens for current block: -509.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","40","14492","0.0-40.0","","","","0","0",""
"158","<p> Total Tokens for current block: -509.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","41","14652","0.0-41.0","","","","0","0",""
"136","<p> Total Tokens for current block: -509.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","42","14791","0.0-42.0","","","","0","-45",""
"134","<p> Total Tokens for current block: -554.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","43","14927","0.0-43.0","","","","0","-36",""
"137","<p> Total Tokens for current block: -590.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","44","15067","0.0-44.0","","","","0","-36",""
"152","<p> Total Tokens for current block: -626.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","45","15221","0.0-45.0","","","","0","-39",""
"242","<p> Total Tokens for current block: -665.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","46","15467","0.0-46.0","","","","0","-44",""
"149","<p> Total Tokens for current block: -709.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","47","15616","0.0-47.0","","","","0","0",""
"139","<p> Total Tokens for current block: -709.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","48","15759","0.0-48.0","","","","0","0",""
"148","<p> Total Tokens for current block: -709.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","49","15908","0.0-49.0","","","","0","0",""
"157","<p> Total Tokens for current block: -709.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","50","16067","0.0-50.0","","","","0","-41",""
"147","<p> Total Tokens for current block: -750.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","51","16216","0.0-51.0","","","","0","0",""
"140","<p> Total Tokens for current block: -750.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","52","16359","0.0-52.0","","","","0","-39",""
"132","<p> Total Tokens for current block: -789.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","53","16494","0.0-53.0","","","","0","-42",""
"141","<p> Total Tokens for current block: -831.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","54","16638","0.0-54.0","","","","0","-44",""
"156","<p> Total Tokens for current block: -875.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","55","16795","0.0-55.0","","","","0","-44",""
"140","<p> Total Tokens for current block: -919.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","56","16939","0.0-56.0","","","","0","-40",""
"724","<p> Total Tokens for Block 1: -959.00 </p>"," ","html-keyboard-response","57","17665","0.0-57.0","","","","","",""
"657","<p> Block 2</div> Press any key to continue. </p>"," ","html-keyboard-response","58","18324","0.0-58.0","","","","","",""
"1126","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","59","19449","0.0-59.0","","","","1","-202",""
"164","<p> Total Tokens for current block: -202.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","60","19616","0.0-60.0","","","","1","0",""
"145","<p> Total Tokens for current block: -202.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","61","19764","0.0-61.0","","","","1","0",""
"135","<p> Total Tokens for current block: -202.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","62","19900","0.0-62.0","","","","1","0",""
"134","<p> Total Tokens for current block: -202.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","63","20037","0.0-63.0","","","","1","0",""
"147","<p> Total Tokens for current block: -202.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","64","20186","0.0-64.0","","","","1","-195",""
"141","<p> Total Tokens for current block: -397.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","65","20328","0.0-65.0","","","","1","-199",""
"133","<p> Total Tokens for current block: -596.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","66","20465","0.0-66.0","","","","1","0",""
"84","<p> Total Tokens for current block: -596.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","67","20551","0.0-67.0","","","","1","-204",""
"176","<p> Total Tokens for current block: -800.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","68","20729","0.0-68.0","","","","1","0",""
"139","<p> Total Tokens for current block: -800.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","69","20872","0.0-69.0","","","","1","0",""
"158","<p> Total Tokens for current block: -800.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","70","21034","0.0-70.0","","","","1","0",""
"145","<p> Total Tokens for current block: -800.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","71","21182","0.0-71.0","","","","1","0",""
"166","<p> Total Tokens for current block: -800.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","72","21351","0.0-72.0","","","","1","0",""
"239","<p> Total Tokens for current block: -800.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","73","21593","0.0-73.0","","","","1","-199",""
"127","<p> Total Tokens for current block: -999.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","74","21722","0.0-74.0","","","","1","0",""
"141","<p> Total Tokens for current block: -999.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","75","21866","0.0-75.0","","","","1","0",""
"142","<p> Total Tokens for current block: -999.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","76","22009","0.0-76.0","","","","1","-204",""
"141","<p> Total Tokens for current block: -1203.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","77","22152","0.0-77.0","","","","1","0",""
"112","<p> Total Tokens for current block: -1203.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","78","22267","0.0-78.0","","","","1","0",""
"179","<p> Total Tokens for current block: -1203.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","79","22448","0.0-79.0","","","","1","0",""
"145","<p> Total Tokens for current block: -1203.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","80","22597","0.0-80.0","","","","1","-204",""
"134","<p> Total Tokens for current block: -1407.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","81","22734","0.0-81.0","","","","1","-197",""
"131","<p> Total Tokens for current block: -1604.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","82","22868","0.0-82.0","","","","1","0",""
"141","<p> Total Tokens for current block: -1604.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","83","23010","0.0-83.0","","","","1","0",""
"135","<p> Total Tokens for current block: -1604.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","84","23148","0.0-84.0","","","","1","-196",""
"139","<p> Total Tokens for current block: -1800.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","85","23291","0.0-85.0","","","","1","-204",""
"132","<p> Total Tokens for current block: -2004.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","86","23426","0.0-86.0","","","","1","-203",""
"134","<p> Total Tokens for current block: -2207.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","87","23561","0.0-87.0","","","","1","0",""
"140","<p> Total Tokens for current block: -2207.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","88","23704","0.0-88.0","","","","1","-201",""
"148","<p> Total Tokens for current block: -2408.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","89","23854","0.0-89.0","","","","1","-201",""
"148","<p> Total Tokens for current block: -2609.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","90","24005","0.0-90.0","","","","1","-203",""
"143","<p> Total Tokens for current block: -2812.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","91","24150","0.0-91.0","","","","1","0",""
"124","<p> Total Tokens for current block: -2812.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","92","24276","0.0-92.0","","","","1","-199",""
"147","<p> Total Tokens for current block: -3011.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","93","24426","0.0-93.0","","","","1","0",""
"148","<p> Total Tokens for current block: -3011.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","94","24576","0.0-94.0","","","","1","-198",""
"147","<p> Total Tokens for current block: -3209.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","95","24726","0.0-95.0","","","","1","0",""
"148","<p> Total Tokens for current block: -3209.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","96","24877","0.0-96.0","","","","1","-197",""
"148","<p> Total Tokens for current block: -3406.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","97","25028","0.0-97.0","","","","1","-196",""
"156","<p> Total Tokens for current block: -3602.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","98","25186","0.0-98.0","","","","1","0",""
"128","<p> Total Tokens for current block: -3602.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","99","25316","0.0-99.0","","","","1","0",""
"146","<p> Total Tokens for current block: -3602.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","100","25465","0.0-100.0","","","","1","0",""
"139","<p> Total Tokens for current block: -3602.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","101","25606","0.0-101.0","","","","1","0",""
"169","<p> Total Tokens for current block: -3602.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","102","25778","0.0-102.0","","","","1","-197",""
"168","<p> Total Tokens for current block: -3799.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","103","25951","0.0-103.0","","","","1","0",""
"140","<p> Total Tokens for current block: -3799.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","104","26093","0.0-104.0","","","","1","-200",""
"149","<p> Total Tokens for current block: -3999.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","105","26243","0.0-105.0","","","","1","0",""
