"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","outcome","sr","accuracy"
"2911","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>","v","html-keyboard-response","0","2913","0.0-0.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","","","",""
"3284","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      ","h","html-keyboard-response","1","6200","0.0-1.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","","","",""
"13017","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","19219","0.0-2.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","","","",""
"204760","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      ","h","html-keyboard-response","3","223981","0.0-3.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","","","",""
"14011","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      ","u","html-keyboard-response","4","237994","0.0-4.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","","","",""
"","","","pavlovia","5","238847","0.0-5.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","","","",""
"1688","<p> Block 1</div> Press any key to continue. </p>","h","html-keyboard-response","6","240536","0.0-6.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","","","",""
"8355","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","248894","0.0-7.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","104","S",""
"2814","<p> Total Tokens for current block: 104.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","8","251711","0.0-8.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","104","S",""
"2186","<p> Total Tokens for current block: 208.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","9","253900","0.0-9.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","98","S",""
"2645","<p> Total Tokens for current block: 306.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","10","256548","0.0-10.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","0","R",""
"2095","<p> Total Tokens for current block: 306.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","11","258646","0.0-11.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","99","S",""
"2392","<p> Total Tokens for current block: 405.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","12","261040","0.0-12.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","199","R",""
"2898","<p> Total Tokens for current block: 604.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","13","263941","0.0-13.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","0","R",""
"2652","<p> Total Tokens for current block: 604.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","14","266595","0.0-14.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","96","S",""
"2378","<p> Total Tokens for current block: 700.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","15","268976","0.0-15.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","0","R",""
"1904","<p> Total Tokens for current block: 700.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","16","270882","0.0-16.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","102","S",""
"1644","<p> Total Tokens for current block: 802.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","17","272528","0.0-17.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","0","R",""
"2059","<p> Total Tokens for current block: 802.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","18","274589","0.0-18.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","101","S",""
"1134","<p> Total Tokens for current block: 903.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","19","275726","0.0-19.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","98","S",""
"928","<p> Total Tokens for current block: 1001.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","20","276656","0.0-20.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","96","S",""
"617","<p> Total Tokens for current block: 1097.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","21","277275","0.0-21.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","98","S",""
"434","<p> Total Tokens for current block: 1195.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","22","277712","0.0-22.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","100","S",""
"183","<p> Total Tokens for current block: 1295.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","23","277897","0.0-23.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","103","S",""
"178","<p> Total Tokens for current block: 1398.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","24","278078","0.0-24.0","63174af7d57182f9bf90c094","64ad530e4483ba3cf33d797a","64c04f98e83c97b3cf74e0d1","0","103","S",""
