"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","sr","outcome","accuracy"
"2138","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>","h","html-keyboard-response","0","2157","0.0-0.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","","","",""
"43024","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      ","j","html-keyboard-response","1","45202","0.0-1.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","","","",""
"3281","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","48485","0.0-2.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","","","",""
"20756","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      ","j","html-keyboard-response","3","69247","0.0-3.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","","","",""
"6732","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      ","j","html-keyboard-response","4","75983","0.0-4.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","","","",""
"","","","pavlovia","5","76843","0.0-5.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","","","",""
"1812","<p> Block 1</div> Press any key to continue. </p>","j","html-keyboard-response","6","78658","0.0-6.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","","","",""
"1691","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","80352","0.0-7.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","43",""
"3517","<p> Total Tokens for current block: 43.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","8","83873","0.0-8.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","39",""
"2342","<p> Total Tokens for current block: 82.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","9","86221","0.0-9.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","37",""
"1625","<p> Total Tokens for current block: 119.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","10","87851","0.0-10.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","42",""
"1070","<p> Total Tokens for current block: 161.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","11","88925","0.0-11.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","39",""
"1037","<p> Total Tokens for current block: 200.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","12","89968","0.0-12.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","35",""
"946","<p> Total Tokens for current block: 235.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","13","90917","0.0-13.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","38",""
"848","<p> Total Tokens for current block: 273.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","14","91769","0.0-14.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","0",""
"696","<p> Total Tokens for current block: 273.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","15","92466","0.0-15.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","0",""
"446","<p> Total Tokens for current block: 273.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","16","92917","0.0-16.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","37",""
"308","<p> Total Tokens for current block: 310.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","17","93227","0.0-17.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","0",""
"401","<p> Total Tokens for current block: 310.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","18","93629","0.0-18.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","0",""
"413","<p> Total Tokens for current block: 310.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","19","94045","0.0-19.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","40",""
"447","<p> Total Tokens for current block: 350.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","20","94498","0.0-20.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","0",""
"550","<p> Total Tokens for current block: 350.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","21","95049","0.0-21.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","0",""
"1511","<p> Total Tokens for current block: 350.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","22","96563","0.0-22.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","39",""
"849","<p> Total Tokens for current block: 389.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","23","97414","0.0-23.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","0",""
"947","<p> Total Tokens for current block: 389.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","24","98364","0.0-24.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","0",""
"980","<p> Total Tokens for current block: 389.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","25","99346","0.0-25.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","39",""
"902","<p> Total Tokens for current block: 428.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","26","100252","0.0-26.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","37",""
"890","<p> Total Tokens for current block: 465.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","27","101145","0.0-27.0","602a2911a73ba046955f6c58","64ad530e4483ba3cf33d797a","64bad9a58367e8f5c87ee674","0","R","36",""
