"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","outcome","accuracy"
"774","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>"," ","html-keyboard-response","0","778","0.0-0.0","","","","","",""
"762","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      "," ","html-keyboard-response","1","1552","0.0-1.0","","","","","",""
"1741","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","3302","0.0-2.0","","","","","",""
"790","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      "," ","html-keyboard-response","3","4093","0.0-3.0","","","","","",""
"472","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      "," ","html-keyboard-response","4","4567","0.0-4.0","","","","","",""
"","","","pavlovia","5","5360","0.0-5.0","","","","","",""
"583","<p> Block 1</div> Press any key to continue. </p>"," ","html-keyboard-response","6","5944","0.0-6.0","","","","","",""
"1437","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","7382","0.0-7.0","","","","0","-23",""
"168","<p> Total Tokens for current block: -23.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","8","7554","0.0-8.0","","","","0","-20",""
"162","<p> Total Tokens for current block: -43.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","9","7723","0.0-9.0","","","","0","-15",""
"150","<p> Total Tokens for current block: -58.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","10","7890","0.0-10.0","","","","0","-18",""
"171","<p> Total Tokens for current block: -76.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","11","8063","0.0-11.0","","","","0","-25",""
"161","<p> Total Tokens for current block: -101.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","12","8227","0.0-12.0","","","","0","-23",""
"1970","<p> Total Tokens for current block: -124.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","13","10201","0.0-13.0","","","","0","-16",""
"164","<p> Total Tokens for current block: -140.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","14","10366","0.0-14.0","","","","0","-18",""
"885","<p> Total Tokens for current block: -158.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","15","11252","0.0-15.0","","","","0","0",""
"162","<p> Total Tokens for current block: -158.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","16","11417","0.0-16.0","","","","0","-38",""
"163","<p> Total Tokens for current block: -196.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","17","11582","0.0-17.0","","","","0","-35",""
"169","<p> Total Tokens for current block: -231.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","18","11753","0.0-18.0","","","","0","0",""
"148","<p> Total Tokens for current block: -231.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","19","11903","0.0-19.0","","","","0","0",""
"177","<p> Total Tokens for current block: -231.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","20","12085","0.0-20.0","","","","0","0",""
"158","<p> Total Tokens for current block: -231.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","21","12247","0.0-21.0","","","","0","-36",""
"184","<p> Total Tokens for current block: -267.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","22","12434","0.0-22.0","","","","0","-39",""
"183","<p> Total Tokens for current block: -306.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","23","12620","0.0-23.0","","","","0","-42",""
"176","<p> Total Tokens for current block: -348.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","24","12798","0.0-24.0","","","","0","-43",""
"168","<p> Total Tokens for current block: -391.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","25","12969","0.0-25.0","","","","0","-43",""
"178","<p> Total Tokens for current block: -434.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","26","13148","0.0-26.0","","","","0","0",""
"169","<p> Total Tokens for current block: -434.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","27","13320","0.0-27.0","","","","0","-42",""
"176","<p> Total Tokens for current block: -476.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","28","13499","0.0-28.0","","","","0","-40",""
"169","<p> Total Tokens for current block: -516.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","29","13671","0.0-29.0","","","","0","-40",""
"158","<p> Total Tokens for current block: -556.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","30","13830","0.0-30.0","","","","0","0",""
"189","<p> Total Tokens for current block: -556.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","31","14021","0.0-31.0","","","","0","0",""
"175","<p> Total Tokens for current block: -556.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","32","14200","0.0-32.0","","","","0","-45",""
