"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","outcome","sr","accuracy"
"2869","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>"," ","html-keyboard-response","0","2870","0.0-0.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","","","",""
"9685","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      "," ","html-keyboard-response","1","12557","0.0-1.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","","","",""
"4025","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","16583","0.0-2.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","","","",""
"3123","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      "," ","html-keyboard-response","3","19707","0.0-3.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","","","",""
"3975","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      "," ","html-keyboard-response","4","23683","0.0-4.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","","","",""
"","","","pavlovia","5","25096","0.0-5.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","","","",""
"1804","<p> Block 1</div> Press any key to continue. </p>"," ","html-keyboard-response","6","26900","0.0-6.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","","","",""
"1472","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","28373","0.0-7.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-105","S",""
"1584","<p> Total Tokens for current block: -105.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","8","29958","0.0-8.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-196","R",""
"1478","<p> Total Tokens for current block: -301.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","9","31437","0.0-9.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-198","R",""
"1830","<p> Total Tokens for current block: -499.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","10","33269","0.0-10.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","0","R",""
"909","<p> Total Tokens for current block: -499.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","11","34178","0.0-11.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-103","S",""
"2398","<p> Total Tokens for current block: -602.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","12","36577","0.0-12.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","0","R",""
"650","<p> Total Tokens for current block: -602.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","13","37227","0.0-13.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","0","R",""
"1590","<p> Total Tokens for current block: -602.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","14","38816","0.0-14.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-102","S",""
"847","<p> Total Tokens for current block: -704.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","15","39664","0.0-15.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-96","S",""
"604","<p> Total Tokens for current block: -800.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","16","40269","0.0-16.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-95","S",""
"529","<p> Total Tokens for current block: -895.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","17","40799","0.0-17.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-103","S",""
"502","<p> Total Tokens for current block: -998.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","18","41301","0.0-18.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-100","S",""
"504","<p> Total Tokens for current block: -1098.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","19","41806","0.0-19.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-104","S",""
"1109","<p> Total Tokens for current block: -1202.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","20","42916","0.0-20.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-104","S",""
"605","<p> Total Tokens for current block: -1306.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","21","43521","0.0-21.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","0","R",""
"602","<p> Total Tokens for current block: -1306.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","22","44124","0.0-22.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-203","R",""
"462","<p> Total Tokens for current block: -1509.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","23","44586","0.0-23.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-205","R",""
"654","<p> Total Tokens for current block: -1714.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","24","45240","0.0-24.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-200","R",""
"488","<p> Total Tokens for current block: -1914.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","25","45729","0.0-25.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-204","R",""
"500","<p> Total Tokens for current block: -2118.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","26","46228","0.0-26.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","0","R",""
"675","<p> Total Tokens for current block: -2118.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","27","46904","0.0-27.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-197","R",""
"621","<p> Total Tokens for current block: -2315.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","28","47525","0.0-28.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-203","R",""
"423","<p> Total Tokens for current block: -2518.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","29","47949","0.0-29.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-202","R",""
"412","<p> Total Tokens for current block: -2720.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","30","48361","0.0-30.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-195","R",""
"280","<p> Total Tokens for current block: -2915.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","31","48641","0.0-31.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-96","S",""
"402","<p> Total Tokens for current block: -3011.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","32","49043","0.0-32.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-104","S",""
"387","<p> Total Tokens for current block: -3115.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","33","49431","0.0-33.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-97","S",""
"382","<p> Total Tokens for current block: -3212.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","34","49814","0.0-34.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-99","S",""
"352","<p> Total Tokens for current block: -3311.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","35","50167","0.0-35.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-98","S",""
"384","<p> Total Tokens for current block: -3409.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","36","50550","0.0-36.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-98","S",""
"1666","<p> Total Tokens for current block: -3507.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","37","52217","0.0-37.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-99","S",""
"605","<p> Total Tokens for current block: -3606.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","38","52823","0.0-38.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-96","S",""
"450","<p> Total Tokens for current block: -3702.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","39","53273","0.0-39.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-100","S",""
"416","<p> Total Tokens for current block: -3802.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","40","53690","0.0-40.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-100","S",""
"392","<p> Total Tokens for current block: -3902.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","41","54082","0.0-41.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-102","S",""
"410","<p> Total Tokens for current block: -4004.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","42","54492","0.0-42.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-96","S",""
"395","<p> Total Tokens for current block: -4100.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","43","54887","0.0-43.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-100","S",""
"686","<p> Total Tokens for current block: -4200.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","44","55573","0.0-44.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-97","S",""
"562","<p> Total Tokens for current block: -4297.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","45","56135","0.0-45.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-103","S",""
"517","<p> Total Tokens for current block: -4400.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","46","56653","0.0-46.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-97","S",""
"441","<p> Total Tokens for current block: -4497.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","47","57095","0.0-47.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-98","S",""
"573","<p> Total Tokens for current block: -4595.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","48","57669","0.0-48.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-104","S",""
"401","<p> Total Tokens for current block: -4699.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","49","58069","0.0-49.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-103","S",""
"361","<p> Total Tokens for current block: -4802.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","50","58431","0.0-50.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-101","S",""
"168","<p> Total Tokens for current block: -4903.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","51","58600","0.0-51.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-98","S",""
"355","<p> Total Tokens for current block: -5001.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","52","58955","0.0-52.0","58ae59babb9e0f0001acb414","64ad530e4483ba3cf33d797a","64c05e7eac7d6ad2df3757d9","0","-98","S",""
