"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","sr","outcome","accuracy"
"9677","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>"," ","html-keyboard-response","0","9678","0.0-0.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","","","",""
"27293","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      "," ","html-keyboard-response","1","36972","0.0-1.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","","","",""
"5326","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","42299","0.0-2.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","","","",""
"5269","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      ","control","html-keyboard-response","3","47569","0.0-3.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","","","",""
"20927","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      "," ","html-keyboard-response","4","68496","0.0-4.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","","","",""
"","","","pavlovia","5","69264","0.0-5.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","","","",""
"1481","<p> Block 1</div> Press any key to continue. </p>"," ","html-keyboard-response","6","70746","0.0-6.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","","","",""
"4049","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","74795","0.0-7.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","R","38",""
"8405","<p> Total Tokens for current block: 38.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","8","83201","0.0-8.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","S","15",""
"5390","<p> Total Tokens for current block: 53.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","9","88592","0.0-9.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","R","35",""
"3145","<p> Total Tokens for current block: 88.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","10","91738","0.0-10.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","S","23",""
"2639","<p> Total Tokens for current block: 111.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","11","94378","0.0-11.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","R","45",""
"2826","<p> Total Tokens for current block: 156.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","12","97204","0.0-12.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","S","18",""
"1799","<p> Total Tokens for current block: 174.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","13","99004","0.0-13.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","R","0",""
"3705","<p> Total Tokens for current block: 174.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","14","102710","0.0-14.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","S","21",""
"2295","<p> Total Tokens for current block: 195.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","15","105005","0.0-15.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","S","17",""
"1868","<p> Total Tokens for current block: 212.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","16","106874","0.0-16.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","R","0",""
"3924","<p> Total Tokens for current block: 212.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","17","110800","0.0-17.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","S","22",""
"2103","<p> Total Tokens for current block: 234.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","18","112903","0.0-18.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","S","23",""
"2134","<p> Total Tokens for current block: 257.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","19","115038","0.0-19.0","606b94352e103bc54d43321b","64ad530e4483ba3cf33d797a","64bad9a3837ad9895aa2a3d1","0","S","25",""
