"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","outcome","sr","accuracy"
"1733","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>","j","html-keyboard-response","0","1734","0.0-0.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","","","",""
"16647","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      ","j","html-keyboard-response","1","18383","0.0-1.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","","","",""
"10304","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","28688","0.0-2.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","","","",""
"25469","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      ","j","html-keyboard-response","3","54158","0.0-3.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","","","",""
"15690","
        <p>You will receive ÂŁ2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive ÂŁ0.50</p>
        <p>For 100 - 200 tokens, you will receive ÂŁ1.00</p>
        <p>For 200 - 300 tokens, you will receive ÂŁ1.50</p>
        <p>If you get 300 tokens or above, you will receive ÂŁ2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      ","j","html-keyboard-response","4","69848","0.0-4.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","","","",""
"","","","pavlovia","5","70595","0.0-5.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","","","",""
"1319","<p> Block 1</div> Press any key to continue. </p>","j","html-keyboard-response","6","71914","0.0-6.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","","","",""
"9213","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","81128","0.0-7.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-102","S",""
"3515","<p> Total Tokens for current block: -102.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","8","84644","0.0-8.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","0","R",""
"2609","<p> Total Tokens for current block: -102.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","9","87254","0.0-9.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","0","R",""
"2239","<p> Total Tokens for current block: -102.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","10","89493","0.0-10.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-102","S",""
"1983","<p> Total Tokens for current block: -204.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","11","91478","0.0-11.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-196","R",""
"1825","<p> Total Tokens for current block: -400.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","12","93304","0.0-12.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-198","R",""
"1351","<p> Total Tokens for current block: -598.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","13","94656","0.0-13.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-104","S",""
"1259","<p> Total Tokens for current block: -702.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","14","95916","0.0-14.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-95","S",""
"1231","<p> Total Tokens for current block: -797.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","15","97148","0.0-15.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-197","R",""
"715","<p> Total Tokens for current block: -994.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","16","97864","0.0-16.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-100","S",""
"663","<p> Total Tokens for current block: -1094.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","17","98528","0.0-17.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-203","R",""
"837","<p> Total Tokens for current block: -1297.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","18","99366","0.0-18.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-101","S",""
"759","<p> Total Tokens for current block: -1398.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","19","100126","0.0-19.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-95","S",""
"807","<p> Total Tokens for current block: -1493.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","20","100934","0.0-20.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-100","S",""
"687","<p> Total Tokens for current block: -1593.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","21","101621","0.0-21.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-98","S",""
"676","<p> Total Tokens for current block: -1691.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","22","102298","0.0-22.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","-101","S",""
"871","<p> Total Tokens for current block: -1792.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","23","103169","0.0-23.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","0","R",""
"787","<p> Total Tokens for current block: -1792.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","24","103957","0.0-24.0","5e75329210ac300a26c58065","64ad530e4483ba3cf33d797a","64bab0aee7fc711574a20c6a","0","0","R",""
